date,SACTMIN,Ride
2015-01-01,10.5,Expedition Everest
2015-01-02,5.5,Expedition Everest
2015-01-03,24.333333333333332,Expedition Everest
2015-01-04,25.0,Expedition Everest
2015-01-05,3.0,Expedition Everest
2015-01-06,10.333333333333334,Expedition Everest
2015-01-07,9.0,Expedition Everest
2015-01-08,35.0,Expedition Everest
2015-01-09,7.666666666666667,Expedition Everest
2015-01-10,27.5,Expedition Everest
2015-01-11,9.5,Expedition Everest
2015-01-12,0.0,Expedition Everest
2015-01-13,3.0,Expedition Everest
2015-01-14,,Expedition Everest
2015-01-15,11.5,Expedition Everest
2015-01-16,22.25,Expedition Everest
2015-01-17,20.0,Expedition Everest
2015-01-18,16.833333333333332,Expedition Everest
2015-01-19,16.0,Expedition Everest
2015-01-20,33.0,Expedition Everest
2015-01-21,14.0,Expedition Everest
2015-01-22,13.1,Expedition Everest
2015-01-23,8.833333333333334,Expedition Everest
2015-01-24,20.333333333333332,Expedition Everest
2015-01-25,33.5,Expedition Everest
2015-01-26,4.5,Expedition Everest
2015-01-27,8.8,Expedition Everest
2015-01-28,17.8,Expedition Everest
2015-01-29,15.727272727272727,Expedition Everest
2015-01-30,19.5,Expedition Everest
2015-01-31,27.75,Expedition Everest
2015-02-01,9.0,Expedition Everest
2015-02-02,6.0,Expedition Everest
2015-02-03,13.333333333333334,Expedition Everest
2015-02-04,3.5714285714285716,Expedition Everest
2015-02-05,,Expedition Everest
2015-02-06,5.5,Expedition Everest
2015-02-07,,Expedition Everest
2015-02-08,,Expedition Everest
2015-02-09,,Expedition Everest
2015-02-10,14.0,Expedition Everest
2015-02-11,18.0,Expedition Everest
2015-02-12,,Expedition Everest
2015-02-13,18.0,Expedition Everest
2015-02-14,13.166666666666666,Expedition Everest
2015-02-15,18.0,Expedition Everest
2015-02-16,7.0,Expedition Everest
2015-02-17,13.5,Expedition Everest
2015-02-18,19.428571428571427,Expedition Everest
2015-02-19,,Expedition Everest
2015-02-20,17.0,Expedition Everest
2015-02-21,23.285714285714285,Expedition Everest
2015-02-22,26.0,Expedition Everest
2015-02-23,13.333333333333334,Expedition Everest
2015-02-24,20.0,Expedition Everest
2015-02-25,8.5,Expedition Everest
2015-02-26,15.5,Expedition Everest
2015-02-27,6.0,Expedition Everest
2015-02-28,8.0,Expedition Everest
2015-03-01,10.5,Expedition Everest
2015-03-02,5.5,Expedition Everest
2015-03-03,,Expedition Everest
2015-03-04,4.25,Expedition Everest
2015-03-05,,Expedition Everest
2015-03-06,8.0,Expedition Everest
2015-03-07,19.333333333333332,Expedition Everest
2015-03-08,2.0,Expedition Everest
2015-03-09,6.0,Expedition Everest
2015-03-10,,Expedition Everest
2015-03-11,22.8,Expedition Everest
2015-03-12,,Expedition Everest
2015-03-13,16.0,Expedition Everest
2015-03-14,24.0,Expedition Everest
2015-03-15,9.0,Expedition Everest
2015-03-16,9.0,Expedition Everest
2015-03-17,27.0,Expedition Everest
2015-03-18,12.8,Expedition Everest
2015-03-19,19.833333333333332,Expedition Everest
2015-03-20,25.333333333333332,Expedition Everest
2015-03-21,14.666666666666666,Expedition Everest
2015-03-22,21.0,Expedition Everest
2015-03-23,27.0,Expedition Everest
2015-03-24,23.0,Expedition Everest
2015-03-25,6.0,Expedition Everest
2015-03-26,,Expedition Everest
2015-03-27,25.0,Expedition Everest
2015-03-28,16.75,Expedition Everest
2015-03-29,25.75,Expedition Everest
2015-03-30,,Expedition Everest
2015-03-31,7.333333333333333,Expedition Everest
2015-04-01,30.0,Expedition Everest
2015-04-02,11.833333333333334,Expedition Everest
2015-04-03,,Expedition Everest
2015-04-04,33.0,Expedition Everest
2015-04-05,,Expedition Everest
2015-04-06,7.0,Expedition Everest
2015-04-07,18.0,Expedition Everest
2015-04-08,20.0,Expedition Everest
2015-04-09,,Expedition Everest
2015-04-10,18.571428571428573,Expedition Everest
2015-04-11,9.5,Expedition Everest
2015-04-12,,Expedition Everest
2015-04-13,12.0,Expedition Everest
2015-04-14,39.0,Expedition Everest
2015-04-15,26.0,Expedition Everest
2015-04-16,11.5,Expedition Everest
2015-04-17,18.0,Expedition Everest
2015-04-18,16.333333333333332,Expedition Everest
2015-04-19,3.0,Expedition Everest
2015-04-20,24.25,Expedition Everest
2015-04-21,15.75,Expedition Everest
2015-04-22,10.0,Expedition Everest
2015-04-23,3.3333333333333335,Expedition Everest
2015-04-24,17.0,Expedition Everest
2015-04-25,38.0,Expedition Everest
2015-04-26,9.0,Expedition Everest
2015-04-27,26.666666666666668,Expedition Everest
2015-04-28,,Expedition Everest
2015-04-29,,Expedition Everest
2015-04-30,29.25,Expedition Everest
2015-05-01,23.5,Expedition Everest
2015-05-02,16.6,Expedition Everest
2015-05-03,12.4,Expedition Everest
2015-05-04,7.5,Expedition Everest
2015-05-05,,Expedition Everest
2015-05-06,10.0,Expedition Everest
2015-05-07,20.5,Expedition Everest
2015-05-08,22.333333333333332,Expedition Everest
2015-05-09,,Expedition Everest
2015-05-10,13.4,Expedition Everest
2015-05-11,12.0,Expedition Everest
2015-05-12,10.8,Expedition Everest
2015-05-13,15.0,Expedition Everest
2015-05-14,19.666666666666668,Expedition Everest
2015-05-15,13.666666666666666,Expedition Everest
2015-05-16,4.0,Expedition Everest
2015-05-17,6.0,Expedition Everest
2015-05-18,25.0,Expedition Everest
2015-05-19,11.0,Expedition Everest
2015-05-20,2.0,Expedition Everest
2015-05-21,5.0,Expedition Everest
2015-05-22,34.0,Expedition Everest
2015-05-23,14.0,Expedition Everest
2015-05-24,46.0,Expedition Everest
2015-05-25,9.666666666666666,Expedition Everest
2015-05-26,27.0,Expedition Everest
2015-05-27,20.3,Expedition Everest
2015-05-28,,Expedition Everest
2015-05-29,24.0,Expedition Everest
2015-05-30,33.8,Expedition Everest
2015-05-31,10.0,Expedition Everest
2015-06-01,22.5,Expedition Everest
2015-06-02,11.0,Expedition Everest
2015-06-03,18.333333333333332,Expedition Everest
2015-06-04,24.0,Expedition Everest
2015-06-05,21.75,Expedition Everest
2015-06-06,24.0,Expedition Everest
2015-06-07,5.0,Expedition Everest
2015-06-08,20.0,Expedition Everest
2015-06-09,28.0,Expedition Everest
2015-06-10,31.0,Expedition Everest
2015-06-11,25.25,Expedition Everest
2015-06-12,14.333333333333334,Expedition Everest
2015-06-13,21.5,Expedition Everest
2015-06-14,16.0,Expedition Everest
2015-06-15,11.5,Expedition Everest
2015-06-16,21.0,Expedition Everest
2015-06-17,17.0,Expedition Everest
2015-06-18,4.5,Expedition Everest
2015-06-19,,Expedition Everest
2015-06-20,2.75,Expedition Everest
2015-06-21,10.88888888888889,Expedition Everest
2015-06-22,,Expedition Everest
2015-06-23,18.5,Expedition Everest
2015-06-24,30.0,Expedition Everest
2015-06-25,8.5,Expedition Everest
2015-06-26,22.25,Expedition Everest
2015-06-27,,Expedition Everest
2015-06-28,14.0,Expedition Everest
2015-06-29,,Expedition Everest
2015-06-30,19.0,Expedition Everest
2015-07-01,,Expedition Everest
2015-07-02,8.0,Expedition Everest
2015-07-03,18.0,Expedition Everest
2015-07-04,,Expedition Everest
2015-07-05,,Expedition Everest
2015-07-06,3.0,Expedition Everest
2015-07-07,25.0,Expedition Everest
2015-07-08,,Expedition Everest
2015-07-09,11.5,Expedition Everest
2015-07-10,8.666666666666666,Expedition Everest
2015-07-11,,Expedition Everest
2015-07-12,17.333333333333332,Expedition Everest
2015-07-13,12.0,Expedition Everest
2015-07-14,30.5,Expedition Everest
2015-07-15,4.0,Expedition Everest
2015-07-16,,Expedition Everest
2015-07-17,4.0,Expedition Everest
2015-07-18,12.5,Expedition Everest
2015-07-19,,Expedition Everest
2015-07-20,6.0,Expedition Everest
2015-07-21,,Expedition Everest
2015-07-22,15.0,Expedition Everest
2015-07-23,21.333333333333332,Expedition Everest
2015-07-24,27.5,Expedition Everest
2015-07-25,6.666666666666667,Expedition Everest
2015-07-26,,Expedition Everest
2015-07-27,32.0,Expedition Everest
2015-07-28,10.0,Expedition Everest
2015-07-29,,Expedition Everest
2015-07-30,,Expedition Everest
2015-07-31,,Expedition Everest
2015-08-01,,Expedition Everest
2015-08-02,6.0,Expedition Everest
2015-08-03,,Expedition Everest
2015-08-04,7.0,Expedition Everest
2015-08-05,,Expedition Everest
2015-08-06,24.0,Expedition Everest
2015-08-07,10.0,Expedition Everest
2015-08-08,7.0,Expedition Everest
2015-08-09,5.0,Expedition Everest
2015-08-10,20.666666666666668,Expedition Everest
2015-08-11,10.0,Expedition Everest
2015-08-12,5.5,Expedition Everest
2015-08-13,13.0,Expedition Everest
2015-08-14,32.0,Expedition Everest
2015-08-15,31.0,Expedition Everest
2015-08-16,16.666666666666668,Expedition Everest
2015-08-17,12.5,Expedition Everest
2015-08-18,9.4,Expedition Everest
2015-08-19,,Expedition Everest
2015-08-20,21.5,Expedition Everest
2015-08-21,,Expedition Everest
2015-08-22,1.0,Expedition Everest
2015-08-23,,Expedition Everest
2015-08-24,25.166666666666668,Expedition Everest
2015-08-25,14.75,Expedition Everest
2015-08-26,10.75,Expedition Everest
2015-08-27,15.25,Expedition Everest
2015-08-28,2.6666666666666665,Expedition Everest
2015-08-29,3.0,Expedition Everest
2015-08-30,27.5,Expedition Everest
2015-08-31,8.0,Expedition Everest
2015-09-01,9.4,Expedition Everest
2015-09-02,12.25,Expedition Everest
2015-09-03,4.5,Expedition Everest
2015-09-04,5.0,Expedition Everest
2015-09-05,30.0,Expedition Everest
2015-09-06,18.333333333333332,Expedition Everest
2015-09-07,13.375,Expedition Everest
2015-09-08,10.666666666666666,Expedition Everest
2015-09-09,17.25,Expedition Everest
2015-09-10,,Expedition Everest
2015-09-11,21.0,Expedition Everest
2015-09-12,16.0,Expedition Everest
2015-09-13,14.166666666666666,Expedition Everest
2015-09-14,3.5,Expedition Everest
2015-09-15,26.0,Expedition Everest
2015-09-16,19.0,Expedition Everest
2015-09-17,24.0,Expedition Everest
2015-09-18,12.8,Expedition Everest
2015-09-19,24.666666666666668,Expedition Everest
2015-09-20,,Expedition Everest
