date,SACTMIN,Ride
2015-01-01,41.2,Rock N Rollercoaster
2015-01-02,26.0,Rock N Rollercoaster
2015-01-03,30.0,Rock N Rollercoaster
2015-01-04,,Rock N Rollercoaster
2015-01-05,21.0,Rock N Rollercoaster
2015-01-06,11.0,Rock N Rollercoaster
2015-01-07,36.0,Rock N Rollercoaster
2015-01-08,29.666666666666668,Rock N Rollercoaster
2015-01-09,42.0,Rock N Rollercoaster
2015-01-10,40.333333333333336,Rock N Rollercoaster
2015-01-11,11.4,Rock N Rollercoaster
2015-01-12,18.333333333333332,Rock N Rollercoaster
2015-01-13,34.25,Rock N Rollercoaster
2015-01-14,,Rock N Rollercoaster
2015-01-15,34.0,Rock N Rollercoaster
2015-01-16,28.666666666666668,Rock N Rollercoaster
2015-01-17,20.5,Rock N Rollercoaster
2015-01-18,47.0,Rock N Rollercoaster
2015-01-19,26.333333333333332,Rock N Rollercoaster
2015-01-20,72.0,Rock N Rollercoaster
2015-01-21,,Rock N Rollercoaster
2015-01-22,32.75,Rock N Rollercoaster
2015-01-23,29.666666666666668,Rock N Rollercoaster
2015-01-24,6.0,Rock N Rollercoaster
2015-01-25,13.666666666666666,Rock N Rollercoaster
2015-01-26,20.1,Rock N Rollercoaster
2015-01-27,12.0,Rock N Rollercoaster
2015-01-28,16.0,Rock N Rollercoaster
2015-01-29,,Rock N Rollercoaster
2015-01-30,64.0,Rock N Rollercoaster
2015-01-31,23.0,Rock N Rollercoaster
2015-02-01,39.666666666666664,Rock N Rollercoaster
2015-02-02,86.0,Rock N Rollercoaster
2015-02-03,20.0,Rock N Rollercoaster
2015-02-04,9.0,Rock N Rollercoaster
2015-02-05,12.0,Rock N Rollercoaster
2015-02-06,37.5,Rock N Rollercoaster
2015-02-07,7.6,Rock N Rollercoaster
2015-02-08,,Rock N Rollercoaster
2015-02-09,15.0,Rock N Rollercoaster
2015-02-10,32.0,Rock N Rollercoaster
2015-02-11,,Rock N Rollercoaster
2015-02-12,33.5,Rock N Rollercoaster
2015-02-13,40.8,Rock N Rollercoaster
2015-02-14,34.0,Rock N Rollercoaster
