date,SACTMIN,Ride
2015-01-01,61.0,Soarin
2015-01-02,24.333333333333332,Soarin
2015-01-03,,Soarin
2015-01-04,,Soarin
2015-01-05,,Soarin
2015-01-06,18.0,Soarin
2015-01-07,,Soarin
2015-01-08,65.0,Soarin
2015-01-09,30.5,Soarin
2015-01-10,30.0,Soarin
2015-01-11,,Soarin
2015-01-12,22.0,Soarin
2015-01-13,46.0,Soarin
2015-01-14,17.0,Soarin
2015-01-15,31.0,Soarin
2015-01-16,29.333333333333332,Soarin
2015-01-17,,Soarin
2015-01-18,20.666666666666668,Soarin
2015-01-19,11.0,Soarin
2015-01-20,,Soarin
2015-01-21,29.0,Soarin
2015-01-22,,Soarin
2015-01-23,31.0,Soarin
2015-01-24,47.0,Soarin
2015-01-25,52.0,Soarin
2015-01-26,8.0,Soarin
2015-01-27,42.0,Soarin
2015-01-28,8.0,Soarin
2015-01-29,42.5,Soarin
2015-01-30,9.5,Soarin
2015-01-31,17.0,Soarin
2015-02-01,21.2,Soarin
2015-02-02,49.0,Soarin
2015-02-03,,Soarin
2015-02-04,45.0,Soarin
2015-02-05,50.0,Soarin
2015-02-06,,Soarin
2015-02-07,52.0,Soarin
2015-02-08,31.0,Soarin
2015-02-09,23.0,Soarin
2015-02-10,34.0,Soarin
2015-02-11,25.0,Soarin
2015-02-12,15.0,Soarin
2015-02-13,64.0,Soarin
2015-02-14,3.0,Soarin
2015-02-15,50.0,Soarin
2015-02-16,,Soarin
2015-02-17,43.5,Soarin
2015-02-18,17.5,Soarin
2015-02-19,,Soarin
2015-02-20,8.5,Soarin
2015-02-21,,Soarin
2015-02-22,11.0,Soarin
2015-02-23,27.5,Soarin
2015-02-24,28.0,Soarin
2015-02-25,31.0,Soarin
2015-02-26,,Soarin
2015-02-27,41.0,Soarin
2015-02-28,21.0,Soarin
2015-03-01,41.0,Soarin
2015-03-02,,Soarin
2015-03-03,33.0,Soarin
2015-03-04,34.0,Soarin
2015-03-05,37.75,Soarin
2015-03-06,28.666666666666668,Soarin
2015-03-07,26.0,Soarin
2015-03-08,,Soarin
2015-03-09,46.0,Soarin
2015-03-10,27.0,Soarin
2015-03-11,,Soarin
2015-03-12,,Soarin
2015-03-13,30.75,Soarin
2015-03-14,,Soarin
2015-03-15,58.0,Soarin
2015-03-16,27.666666666666668,Soarin
2015-03-17,21.0,Soarin
2015-03-18,126.0,Soarin
2015-03-19,,Soarin
2015-03-20,47.666666666666664,Soarin
2015-03-21,35.0,Soarin
2015-03-22,,Soarin
2015-03-23,,Soarin
2015-03-24,24.0,Soarin
2015-03-25,21.0,Soarin
2015-03-26,63.0,Soarin
2015-03-27,32.0,Soarin
2015-03-28,14.333333333333334,Soarin
2015-03-29,30.0,Soarin
2015-03-30,,Soarin
2015-03-31,28.0,Soarin
2015-04-01,,Soarin
2015-04-02,86.0,Soarin
2015-04-03,33.25,Soarin
2015-04-04,81.0,Soarin
2015-04-05,26.0,Soarin
2015-04-06,115.5,Soarin
2015-04-07,27.0,Soarin
2015-04-08,,Soarin
2015-04-09,54.75,Soarin
2015-04-10,26.333333333333332,Soarin
2015-04-11,,Soarin
2015-04-12,,Soarin
2015-04-13,20.0,Soarin
2015-04-14,17.666666666666668,Soarin
2015-04-15,,Soarin
2015-04-16,,Soarin
2015-04-17,14.5,Soarin
2015-04-18,,Soarin
2015-04-19,25.0,Soarin
2015-04-20,18.0,Soarin
2015-04-21,22.0,Soarin
2015-04-22,31.0,Soarin
2015-04-23,39.5,Soarin
2015-04-24,12.0,Soarin
2015-04-25,38.5,Soarin
2015-04-26,38.0,Soarin
2015-04-27,8.0,Soarin
2015-04-28,24.0,Soarin
2015-04-29,30.0,Soarin
2015-04-30,,Soarin
2015-05-01,28.0,Soarin
2015-05-02,20.0,Soarin
2015-05-03,6.0,Soarin
2015-05-04,0.0,Soarin
2015-05-05,30.0,Soarin
2015-05-06,11.666666666666666,Soarin
2015-05-07,29.75,Soarin
2015-05-08,89.0,Soarin
2015-05-09,37.5,Soarin
2015-05-10,,Soarin
2015-05-11,24.5,Soarin
2015-05-12,25.0,Soarin
2015-05-13,6.0,Soarin
