date,SACTMIN,Ride
2015-01-01,11.5,Splash Mountain
2015-01-02,1.0,Splash Mountain
2015-01-03,37.333333333333336,Splash Mountain
2015-01-04,16.0,Splash Mountain
2015-01-05,,Splash Mountain
2015-01-06,,Splash Mountain
2015-01-07,,Splash Mountain
2015-01-08,,Splash Mountain
2015-01-09,,Splash Mountain
2015-01-10,,Splash Mountain
2015-01-11,,Splash Mountain
2015-01-12,,Splash Mountain
2015-01-13,,Splash Mountain
2015-01-14,,Splash Mountain
2015-01-15,,Splash Mountain
2015-01-16,,Splash Mountain
2015-01-17,,Splash Mountain
2015-01-18,,Splash Mountain
2015-01-19,,Splash Mountain
2015-01-20,,Splash Mountain
2015-01-21,,Splash Mountain
2015-01-22,,Splash Mountain
2015-01-23,,Splash Mountain
2015-01-24,,Splash Mountain
2015-01-25,,Splash Mountain
2015-01-26,,Splash Mountain
2015-01-27,,Splash Mountain
2015-01-28,,Splash Mountain
2015-01-29,,Splash Mountain
2015-01-30,,Splash Mountain
2015-01-31,,Splash Mountain
2015-02-01,11.4,Splash Mountain
2015-02-02,,Splash Mountain
2015-02-03,2.5,Splash Mountain
2015-02-04,5.0,Splash Mountain
2015-02-05,3.0,Splash Mountain
2015-02-06,14.0,Splash Mountain
2015-02-07,31.0,Splash Mountain
2015-02-08,14.5,Splash Mountain
2015-02-09,3.0,Splash Mountain
2015-02-10,,Splash Mountain
2015-02-11,14.5,Splash Mountain
2015-02-12,15.5,Splash Mountain
2015-02-13,3.5,Splash Mountain
2015-02-14,,Splash Mountain
2015-02-15,,Splash Mountain
2015-02-16,14.2,Splash Mountain
2015-02-17,,Splash Mountain
2015-02-18,14.0,Splash Mountain
2015-02-19,,Splash Mountain
2015-02-20,15.0,Splash Mountain
2015-02-21,18.5,Splash Mountain
2015-02-22,35.0,Splash Mountain
2015-02-23,39.0,Splash Mountain
2015-02-24,18.666666666666668,Splash Mountain
2015-02-25,12.666666666666666,Splash Mountain
2015-02-26,8.333333333333334,Splash Mountain
2015-02-27,1.0,Splash Mountain
