Date,Actual Line Time
2015-01-01,41.2
2015-01-02,26.0
2015-01-03,30.0
2015-01-04,
2015-01-05,21.0
2015-01-06,11.0
2015-01-07,36.0
2015-01-08,29.666666666666668
2015-01-09,42.0
2015-01-10,40.333333333333336
2015-01-11,11.4
2015-01-12,18.333333333333332
2015-01-13,34.25
2015-01-14,
2015-01-15,34.0
2015-01-16,28.666666666666668
2015-01-17,20.5
2015-01-18,47.0
2015-01-19,26.333333333333332
2015-01-20,72.0
2015-01-21,
2015-01-22,32.75
2015-01-23,29.666666666666668
2015-01-24,6.0
2015-01-25,13.666666666666666
2015-01-26,20.1
2015-01-27,12.0
2015-01-28,16.0
2015-01-29,
2015-01-30,64.0
2015-01-31,23.0
2015-02-01,39.666666666666664
2015-02-02,86.0
2015-02-03,20.0
2015-02-04,9.0
2015-02-05,12.0
2015-02-06,37.5
2015-02-07,7.6
2015-02-08,
2015-02-09,15.0
2015-02-10,32.0
2015-02-11,
2015-02-12,33.5
2015-02-13,40.8
2015-02-14,34.0
2015-02-15,43.75
2015-02-16,37.0
2015-02-17,94.66666666666667
2015-02-18,
2015-02-19,42.0
2015-02-20,36.5
2015-02-21,27.0
2015-02-22,36.75
2015-02-23,22.5
2015-02-24,16.666666666666668
2015-02-25,29.0
2015-02-26,24.0
2015-02-27,
2015-02-28,12.0
2015-03-01,19.0
2015-03-02,46.0
2015-03-03,27.0
2015-03-04,14.5
2015-03-05,30.8
2015-03-06,18.5
2015-03-07,16.0
2015-03-08,27.75
2015-03-09,13.0
2015-03-10,
2015-03-11,
2015-03-12,30.75
2015-03-13,34.0
2015-03-14,35.75
2015-03-15,7.5
2015-03-16,8.0
2015-03-17,67.0
2015-03-18,31.0
2015-03-19,33.0
2015-03-20,21.666666666666668
2015-03-21,51.0
2015-03-22,24.666666666666668
2015-03-23,31.5
2015-03-24,25.0
2015-03-25,
2015-03-26,25.5
2015-03-27,14.5
2015-03-28,
2015-03-29,23.666666666666668
2015-03-30,45.0
2015-03-31,
2015-04-01,62.0
2015-04-02,
2015-04-03,
2015-04-04,33.5
2015-04-05,17.333333333333332
2015-04-06,18.0
2015-04-07,45.333333333333336
2015-04-08,38.666666666666664
2015-04-09,36.25
2015-04-10,41.8
2015-04-11,36.666666666666664
2015-04-12,26.5
2015-04-13,19.0
2015-04-14,23.4
2015-04-15,21.0
2015-04-16,7.5
2015-04-17,7.333333333333333
2015-04-18,10.5
2015-04-19,35.0
2015-04-20,36.5
2015-04-21,25.0
2015-04-22,15.0
2015-04-23,39.0
2015-04-24,
2015-04-25,
2015-04-26,32.0
2015-04-27,60.0
2015-04-28,
2015-04-29,
2015-04-30,25.0
2015-05-01,24.5
2015-05-02,38.0
2015-05-03,25.0
2015-05-04,30.333333333333332
2015-05-05,20.0
2015-05-06,13.4
2015-05-07,38.0
2015-05-08,14.333333333333334
2015-05-09,14.2
2015-05-10,16.75
2015-05-11,27.666666666666668
2015-05-12,
2015-05-13,14.428571428571429
2015-05-14,36.0
2015-05-15,39.0
2015-05-16,113.0
2015-05-17,
2015-05-18,24.333333333333332
2015-05-19,24.2
2015-05-20,18.0
2015-05-21,19.5
2015-05-22,46.0
2015-05-23,43.0
2015-05-24,
2015-05-25,23.75
2015-05-26,
2015-05-27,24.25
2015-05-28,30.714285714285715
2015-05-29,
2015-05-30,
2015-05-31,
2015-06-01,20.5
2015-06-02,37.0
2015-06-03,16.0
2015-06-04,37.25
2015-06-05,27.0
2015-06-06,18.5
2015-06-07,23.0
2015-06-08,52.333333333333336
2015-06-09,45.142857142857146
2015-06-10,20.833333333333332
2015-06-11,25.666666666666668
2015-06-12,44.0
2015-06-13,27.875
2015-06-14,27.0
2015-06-15,27.6
2015-06-16,29.0
2015-06-17,69.0
2015-06-18,47.0
2015-06-19,35.0
2015-06-20,25.571428571428573
2015-06-21,27.0
2015-06-22,16.8
2015-06-23,39.333333333333336
2015-06-24,35.0
2015-06-25,12.0
2015-06-26,
2015-06-27,24.0
2015-06-28,21.0
2015-06-29,17.0
2015-06-30,21.333333333333332
2015-07-01,
2015-07-02,
2015-07-03,35.0
2015-07-04,12.0
2015-07-05,17.0
2015-07-06,
2015-07-07,24.0
2015-07-08,22.0
2015-07-09,32.666666666666664
2015-07-10,25.0
2015-07-11,
2015-07-12,
2015-07-13,
2015-07-14,9.0
2015-07-15,8.0
2015-07-16,55.5
2015-07-17,
2015-07-18,18.0
2015-07-19,40.75
2015-07-20,21.5
2015-07-21,
2015-07-22,12.0
2015-07-23,
2015-07-24,33.0
2015-07-25,28.0
2015-07-26,27.0
2015-07-27,21.5
2015-07-28,59.5
2015-07-29,
2015-07-30,
2015-07-31,65.0
2015-08-01,33.0
2015-08-02,42.0
2015-08-03,51.5
2015-08-04,26.333333333333332
2015-08-05,26.0
2015-08-06,60.0
2015-08-07,
2015-08-08,14.5
2015-08-09,42.0
2015-08-10,
2015-08-11,41.5
2015-08-12,13.0
2015-08-13,25.5
2015-08-14,29.25
2015-08-15,36.0
2015-08-16,27.375
2015-08-17,
2015-08-18,
2015-08-19,58.0
2015-08-20,25.0
2015-08-21,29.5
2015-08-22,35.25
2015-08-23,30.0
2015-08-24,23.4
2015-08-25,18.6
2015-08-26,24.25
2015-08-27,22.0
2015-08-28,14.5
2015-08-29,9.333333333333334
2015-08-30,12.666666666666666
2015-08-31,7.75
2015-09-01,17.0
2015-09-02,15.5
2015-09-03,18.333333333333332
2015-09-04,18.0
2015-09-05,13.0
2015-09-06,
2015-09-07,24.9
2015-09-08,18.0
2015-09-09,15.75
2015-09-10,23.0
2015-09-11,20.0
2015-09-12,15.666666666666666
2015-09-13,16.5
2015-09-14,19.571428571428573
2015-09-15,20.8
2015-09-16,25.0
2015-09-17,16.75
2015-09-18,43.0
2015-09-19,15.0
2015-09-20,15.0
2015-09-21,27.2
2015-09-22,27.0
2015-09-23,25.666666666666668
2015-09-24,16.0
2015-09-25,54.5
2015-09-26,15.333333333333334
2015-09-27,13.666666666666666
2015-09-28,28.0
2015-09-29,15.285714285714286
2015-09-30,28.666666666666668
2015-10-01,21.0
2015-10-02,24.5
2015-10-03,17.5
2015-10-04,21.75
2015-10-05,21.0
2015-10-06,10.0
2015-10-07,13.0
2015-10-08,27.75
2015-10-09,
2015-10-10,70.5
2015-10-11,
2015-10-12,36.0
2015-10-13,34.5
2015-10-14,
2015-10-15,34.2
2015-10-16,25.75
2015-10-17,37.4
2015-10-18,13.5
2015-10-19,23.5
2015-10-20,26.833333333333332
2015-10-21,21.333333333333332
2015-10-22,15.25
2015-10-23,28.25
2015-10-24,17.5
2015-10-25,42.0
2015-10-26,32.5
2015-10-27,37.5
2015-10-28,25.5
2015-10-29,24.0
2015-10-30,19.333333333333332
2015-10-31,14.2
2015-11-01,8.0
2015-11-02,29.666666666666668
2015-11-03,47.333333333333336
2015-11-04,12.6
2015-11-05,16.5
2015-11-06,14.0
2015-11-07,18.666666666666668
2015-11-08,42.5
2015-11-09,25.25
2015-11-10,21.333333333333332
2015-11-11,46.5
2015-11-12,27.833333333333332
2015-11-13,33.666666666666664
2015-11-14,23.6
2015-11-15,34.0
2015-11-16,28.25
2015-11-17,24.333333333333332
2015-11-18,39.6
2015-11-19,20.285714285714285
2015-11-20,20.333333333333332
2015-11-21,32.4
2015-11-22,25.5
2015-11-23,15.666666666666666
2015-11-24,19.0
2015-11-25,41.0
2015-11-26,43.0
2015-11-27,42.0
2015-11-28,11.0
2015-11-29,26.666666666666668
2015-11-30,42.0
2015-12-01,17.8
2015-12-02,18.625
2015-12-03,14.0
2015-12-04,28.666666666666668
2015-12-05,26.75
2015-12-06,
2015-12-07,12.666666666666666
2015-12-08,19.0
2015-12-09,12.5
2015-12-10,18.0
2015-12-11,33.0
2015-12-12,10.3
2015-12-13,26.125
2015-12-14,31.0
2015-12-15,28.333333333333332
2015-12-16,18.6
2015-12-17,26.8
2015-12-18,39.42857142857143
2015-12-19,39.666666666666664
2015-12-20,65.0
2015-12-21,35.8
2015-12-22,75.5
2015-12-23,35.0
2015-12-24,20.75
2015-12-25,
2015-12-26,
2015-12-27,
2015-12-28,49.5
2015-12-29,78.0
2015-12-30,154.0
2015-12-31,65.0
2016-01-01,
2016-01-02,53.5
2016-01-03,27.4
2016-01-04,9.0
2016-01-05,92.0
2016-01-06,30.0
2016-01-07,5.0
2016-01-08,16.0
2016-01-09,63.0
2016-01-10,
2016-01-11,21.666666666666668
2016-01-12,21.25
2016-01-13,
2016-01-14,25.666666666666668
2016-01-15,23.0
2016-01-16,92.0
2016-01-17,46.666666666666664
2016-01-18,62.0
2016-01-19,
2016-01-20,13.0
2016-01-21,32.75
2016-01-22,22.5
2016-01-23,4.666666666666667
2016-01-24,
2016-01-25,31.0
2016-01-26,18.88888888888889
2016-01-27,20.0
2016-01-28,16.75
2016-01-29,35.0
2016-01-30,19.2
2016-01-31,12.285714285714286
2016-02-01,14.8
2016-02-02,22.25
2016-02-03,19.0
2016-02-04,37.0
2016-02-05,19.333333333333332
2016-02-06,24.0
2016-02-07,16.0
2016-02-08,27.0
2016-02-09,
2016-02-10,18.0
2016-02-11,44.333333333333336
2016-02-12,37.5
2016-02-13,42.0
2016-02-14,20.2
2016-02-15,22.0
2016-02-16,
2016-02-17,29.166666666666668
2016-02-18,68.0
2016-02-19,51.5
2016-02-20,44.2
2016-02-21,21.6
2016-02-22,21.0
2016-02-23,
2016-02-24,5.0
2016-02-25,2.3333333333333335
2016-02-26,32.0
2016-02-27,53.0
2016-02-28,13.666666666666666
2016-02-29,46.0
2016-03-01,14.0
2016-03-02,4.0
2016-03-03,26.0
2016-03-04,25.0
2016-03-05,37.0
2016-03-06,
2016-03-07,30.714285714285715
2016-03-08,46.0
2016-03-09,15.2
2016-03-10,
2016-03-11,35.666666666666664
2016-03-12,
2016-03-13,53.5
2016-03-14,63.0
2016-03-15,43.0
2016-03-16,56.0
2016-03-17,15.0
2016-03-18,22.0
2016-03-19,46.0
2016-03-20,20.0
2016-03-21,26.25
2016-03-22,16.0
2016-03-23,52.0
2016-03-24,33.0
2016-03-25,120.0
2016-03-26,
2016-03-27,43.4
2016-03-28,56.0
2016-03-29,20.0
2016-03-30,
2016-03-31,42.0
2016-04-01,36.5
2016-04-02,
2016-04-03,31.0
2016-04-04,38.0
2016-04-05,45.1
2016-04-06,71.5
2016-04-07,12.0
2016-04-08,26.5
2016-04-09,34.5
2016-04-10,18.5
2016-04-11,10.0
2016-04-12,28.0
2016-04-13,
2016-04-14,27.5
2016-04-15,21.0
2016-04-16,17.5
2016-04-17,14.0
2016-04-18,46.0
2016-04-19,26.5
2016-04-20,23.5
2016-04-21,31.0
2016-04-22,32.333333333333336
2016-04-23,43.25
2016-04-24,
2016-04-25,50.0
2016-04-26,38.333333333333336
2016-04-27,61.5
2016-04-28,6.0
2016-04-29,114.0
2016-04-30,36.5
2016-05-01,25.0
2016-05-02,18.0
2016-05-03,14.222222222222221
2016-05-04,16.0
2016-05-05,
2016-05-06,17.0
2016-05-07,6.0
2016-05-08,17.6
2016-05-09,22.666666666666668
2016-05-10,11.555555555555555
2016-05-11,12.0
2016-05-12,
2016-05-13,33.2
2016-05-14,
2016-05-15,26.333333333333332
2016-05-16,19.5
2016-05-17,26.833333333333332
2016-05-18,17.666666666666668
2016-05-19,8.666666666666666
2016-05-20,19.0
2016-05-21,
2016-05-22,16.0
2016-05-23,35.75
2016-05-24,17.0
2016-05-25,55.0
2016-05-26,16.0
2016-05-27,19.0
2016-05-28,41.0
2016-05-29,31.428571428571427
2016-05-30,15.0
2016-05-31,
2016-06-01,76.5
2016-06-02,63.0
2016-06-03,28.333333333333332
2016-06-04,16.0
2016-06-05,43.5
2016-06-06,21.0
2016-06-07,
2016-06-08,48.5
2016-06-09,28.0
2016-06-10,28.0
2016-06-11,45.5
2016-06-12,21.333333333333332
2016-06-13,57.666666666666664
2016-06-14,31.0
2016-06-15,
2016-06-16,55.0
2016-06-17,40.8
2016-06-18,27.0
2016-06-19,16.571428571428573
2016-06-20,17.0
2016-06-21,36.5
2016-06-22,23.0
2016-06-23,28.0
2016-06-24,
2016-06-25,53.0
2016-06-26,10.0
2016-06-27,
2016-06-28,
2016-06-29,24.5
2016-06-30,37.0
2016-07-01,40.0
2016-07-02,27.0
2016-07-03,32.25
2016-07-04,
2016-07-05,45.0
2016-07-06,9.0
2016-07-07,21.0
2016-07-08,49.5
2016-07-09,
2016-07-10,13.0
2016-07-11,
2016-07-12,
2016-07-13,
2016-07-14,24.5
2016-07-15,43.8
2016-07-16,32.0
2016-07-17,
2016-07-18,
2016-07-19,40.0
2016-07-20,44.5
2016-07-21,30.0
2016-07-22,75.0
2016-07-23,
2016-07-24,66.66666666666667
2016-07-25,14.0
2016-07-26,
2016-07-27,
2016-07-28,22.25
2016-07-29,
2016-07-30,15.0
2016-07-31,23.5
2016-08-01,32.0
2016-08-02,
2016-08-03,21.0
2016-08-04,
2016-08-05,36.333333333333336
2016-08-06,10.0
2016-08-07,13.0
2016-08-08,35.0
2016-08-09,13.0
2016-08-10,
2016-08-11,30.0
2016-08-12,
2016-08-13,
2016-08-14,28.5
2016-08-15,48.0
2016-08-16,
2016-08-17,27.0
2016-08-18,
2016-08-19,25.6
2016-08-20,
2016-08-21,30.5
2016-08-22,20.0
2016-08-23,6.5
2016-08-24,41.625
2016-08-25,30.5
2016-08-26,22.0
2016-08-27,24.5
2016-08-28,83.0
2016-08-29,24.0
2016-08-30,13.5
2016-08-31,37.0
2016-09-01,8.0
2016-09-02,
2016-09-03,16.0
2016-09-04,39.0
2016-09-05,15.0
2016-09-06,14.333333333333334
2016-09-07,11.0
2016-09-08,26.0
2016-09-09,
2016-09-10,
2016-09-11,28.0
2016-09-12,25.0
2016-09-13,5.0
2016-09-14,12.8
2016-09-15,16.0
2016-09-16,39.0
2016-09-17,
2016-09-18,8.5
2016-09-19,27.8
