date,SPOSTMIN,Ride
2015-01-01,28.156028368794328,Splash Mountain
2015-01-02,44.014084507042256,Splash Mountain
2015-01-03,43.1985294117647,Splash Mountain
2015-01-04,30.99206349206349,Splash Mountain
2015-01-05,,Splash Mountain
2015-01-06,,Splash Mountain
2015-01-07,,Splash Mountain
2015-01-08,,Splash Mountain
2015-01-09,,Splash Mountain
2015-01-10,,Splash Mountain
2015-01-11,,Splash Mountain
2015-01-12,,Splash Mountain
2015-01-13,,Splash Mountain
2015-01-14,,Splash Mountain
2015-01-15,,Splash Mountain
2015-01-16,,Splash Mountain
2015-01-17,,Splash Mountain
2015-01-18,,Splash Mountain
2015-01-19,,Splash Mountain
2015-01-20,,Splash Mountain
2015-01-21,,Splash Mountain
2015-01-22,,Splash Mountain
2015-01-23,,Splash Mountain
2015-01-24,,Splash Mountain
2015-01-25,,Splash Mountain
2015-01-26,,Splash Mountain
2015-01-27,,Splash Mountain
2015-01-28,,Splash Mountain
2015-01-29,,Splash Mountain
2015-01-30,,Splash Mountain
2015-01-31,6.724137931034483,Splash Mountain
2015-02-01,16.721311475409838,Splash Mountain
2015-02-02,11.666666666666666,Splash Mountain
2015-02-03,14.233333333333333,Splash Mountain
2015-02-04,13.129032258064516,Splash Mountain
2015-02-05,5.68,Splash Mountain
2015-02-06,20.843023255813954,Splash Mountain
2015-02-07,18.34170854271357,Splash Mountain
2015-02-08,19.365079365079364,Splash Mountain
2015-02-09,9.594594594594595,Splash Mountain
2015-02-10,5.714285714285714,Splash Mountain
2015-02-11,13.545454545454545,Splash Mountain
2015-02-12,21.949685534591193,Splash Mountain
2015-02-13,16.016042780748663,Splash Mountain
2015-02-14,20.654450261780106,Splash Mountain
2015-02-15,34.31318681318681,Splash Mountain
2015-02-16,34.33862433862434,Splash Mountain
2015-02-17,26.038961038961038,Splash Mountain
2015-02-18,18.316326530612244,Splash Mountain
2015-02-19,7.361111111111111,Splash Mountain
2015-02-20,9.587912087912088,Splash Mountain
2015-02-21,20.38659793814433,Splash Mountain
2015-02-22,28.502824858757062,Splash Mountain
2015-02-23,25.696969696969695,Splash Mountain
2015-02-24,17.329545454545453,Splash Mountain
2015-02-25,13.478260869565217,Splash Mountain
2015-02-26,10.671140939597315,Splash Mountain
2015-02-27,5.638297872340425,Splash Mountain
2015-02-28,7.670454545454546,Splash Mountain
2015-03-01,25.789473684210527,Splash Mountain
2015-03-02,27.54237288135593,Splash Mountain
2015-03-03,26.506410256410255,Splash Mountain
2015-03-04,16.554878048780488,Splash Mountain
2015-03-05,27.72151898734177,Splash Mountain
2015-03-06,9.264705882352942,Splash Mountain
2015-03-07,12.834224598930481,Splash Mountain
2015-03-08,26.129032258064516,Splash Mountain
2015-03-09,37.63586956521739,Splash Mountain
2015-03-10,46.25,Splash Mountain
2015-03-11,32.634730538922156,Splash Mountain
2015-03-12,49.84662576687116,Splash Mountain
2015-03-13,42.547770700636946,Splash Mountain
2015-03-14,44.022346368715084,Splash Mountain
2015-03-15,31.962365591397848,Splash Mountain
2015-03-16,55.55555555555556,Splash Mountain
2015-03-17,49.850746268656714,Splash Mountain
2015-03-18,40.646766169154226,Splash Mountain
2015-03-19,40.41237113402062,Splash Mountain
2015-03-20,41.05263157894737,Splash Mountain
2015-03-21,45.588235294117645,Splash Mountain
2015-03-22,38.27956989247312,Splash Mountain
2015-03-23,26.647398843930635,Splash Mountain
2015-03-24,44.598930481283425,Splash Mountain
2015-03-25,40.433526011560694,Splash Mountain
2015-03-26,41.544117647058826,Splash Mountain
2015-03-27,29.166666666666668,Splash Mountain
2015-03-28,10.0,Splash Mountain
2015-03-29,27.5,Splash Mountain
2015-03-30,65.77272727272727,Splash Mountain
2015-03-31,52.0,Splash Mountain
2015-04-01,47.5,Splash Mountain
2015-04-02,67.05128205128206,Splash Mountain
2015-04-03,51.93939393939394,Splash Mountain
2015-04-04,47.04697986577181,Splash Mountain
2015-04-05,40.46875,Splash Mountain
2015-04-06,58.96067415730337,Splash Mountain
2015-04-07,67.02312138728324,Splash Mountain
2015-04-08,65.16556291390728,Splash Mountain
2015-04-09,62.248520710059175,Splash Mountain
2015-04-10,61.93181818181818,Splash Mountain
2015-04-11,33.49693251533742,Splash Mountain
2015-04-12,30.325443786982248,Splash Mountain
2015-04-13,30.063291139240505,Splash Mountain
2015-04-14,38.47826086956522,Splash Mountain
2015-04-15,26.43312101910828,Splash Mountain
2015-04-16,36.38461538461539,Splash Mountain
2015-04-17,37.48299319727891,Splash Mountain
2015-04-18,43.24242424242424,Splash Mountain
2015-04-19,33.04054054054054,Splash Mountain
2015-04-20,20.70921985815603,Splash Mountain
2015-04-21,34.875,Splash Mountain
2015-04-22,34.54887218045113,Splash Mountain
2015-04-23,24.099378881987576,Splash Mountain
2015-04-24,50.548780487804876,Splash Mountain
2015-04-25,42.68518518518518,Splash Mountain
2015-04-26,24.705882352941178,Splash Mountain
2015-04-27,30.76158940397351,Splash Mountain
2015-04-28,15.18867924528302,Splash Mountain
2015-04-29,22.63157894736842,Splash Mountain
2015-04-30,41.43884892086331,Splash Mountain
2015-05-01,46.892857142857146,Splash Mountain
2015-05-02,35.16949152542373,Splash Mountain
2015-05-03,29.0,Splash Mountain
2015-05-04,34.73684210526316,Splash Mountain
2015-05-05,28.044692737430168,Splash Mountain
2015-05-06,27.024539877300615,Splash Mountain
2015-05-07,28.151515151515152,Splash Mountain
2015-05-08,33.516129032258064,Splash Mountain
2015-05-09,35.19662921348315,Splash Mountain
2015-05-10,26.94267515923567,Splash Mountain
2015-05-11,34.7037037037037,Splash Mountain
2015-05-12,29.522058823529413,Splash Mountain
2015-05-13,24.41358024691358,Splash Mountain
2015-05-14,35.15527950310559,Splash Mountain
2015-05-15,36.666666666666664,Splash Mountain
2015-05-16,49.59537572254335,Splash Mountain
2015-05-17,27.891156462585034,Splash Mountain
2015-05-18,36.89102564102564,Splash Mountain
2015-05-19,33.170731707317074,Splash Mountain
2015-05-20,31.690647482014388,Splash Mountain
2015-05-21,37.919463087248324,Splash Mountain
2015-05-22,39.86702127659574,Splash Mountain
2015-05-23,50.45454545454545,Splash Mountain
2015-05-24,50.955414012738856,Splash Mountain
2015-05-25,40.8433734939759,Splash Mountain
2015-05-26,51.56441717791411,Splash Mountain
2015-05-27,43.15642458100559,Splash Mountain
2015-05-28,51.87116564417178,Splash Mountain
2015-05-29,49.660493827160494,Splash Mountain
2015-05-30,46.54494382022472,Splash Mountain
2015-05-31,38.18181818181818,Splash Mountain
2015-06-01,40.1840490797546,Splash Mountain
2015-06-02,28.785310734463277,Splash Mountain
2015-06-03,45.294117647058826,Splash Mountain
2015-06-04,49.21195652173913,Splash Mountain
2015-06-05,32.327044025157235,Splash Mountain
2015-06-06,46.355932203389834,Splash Mountain
2015-06-07,46.1436170212766,Splash Mountain
2015-06-08,61.302083333333336,Splash Mountain
2015-06-09,53.49315068493151,Splash Mountain
2015-06-10,38.72781065088758,Splash Mountain
2015-06-11,56.25714285714286,Splash Mountain
2015-06-12,45.02777777777778,Splash Mountain
2015-06-13,39.0625,Splash Mountain
2015-06-14,37.131147540983605,Splash Mountain
2015-06-15,43.333333333333336,Splash Mountain
2015-06-16,43.333333333333336,Splash Mountain
2015-06-17,43.42391304347826,Splash Mountain
2015-06-18,47.73026315789474,Splash Mountain
2015-06-19,34.40397350993378,Splash Mountain
2015-06-20,31.58450704225352,Splash Mountain
2015-06-21,37.088235294117645,Splash Mountain
2015-06-22,48.26086956521739,Splash Mountain
2015-06-23,47.26618705035971,Splash Mountain
2015-06-24,54.04494382022472,Splash Mountain
2015-06-25,45.5,Splash Mountain
2015-06-26,42.628571428571426,Splash Mountain
2015-06-27,40.59322033898305,Splash Mountain
2015-06-28,34.11764705882353,Splash Mountain
2015-06-29,35.88607594936709,Splash Mountain
2015-06-30,49.32098765432099,Splash Mountain
2015-07-01,44.5,Splash Mountain
2015-07-02,38.51973684210526,Splash Mountain
2015-07-03,40.79710144927536,Splash Mountain
2015-07-04,54.550561797752806,Splash Mountain
2015-07-05,26.192052980132452,Splash Mountain
2015-07-06,43.04093567251462,Splash Mountain
2015-07-07,48.51428571428571,Splash Mountain
2015-07-08,44.97041420118343,Splash Mountain
2015-07-09,54.10344827586207,Splash Mountain
2015-07-10,48.61635220125786,Splash Mountain
2015-07-11,43.27067669172932,Splash Mountain
2015-07-12,39.31372549019608,Splash Mountain
2015-07-13,43.77717391304348,Splash Mountain
2015-07-14,45.379746835443036,Splash Mountain
2015-07-15,46.17977528089887,Splash Mountain
2015-07-16,53.375,Splash Mountain
2015-07-17,41.61585365853659,Splash Mountain
2015-07-18,43.466257668711656,Splash Mountain
2015-07-19,38.98203592814371,Splash Mountain
2015-07-20,51.44808743169399,Splash Mountain
2015-07-21,55.828220858895705,Splash Mountain
2015-07-22,58.59649122807018,Splash Mountain
2015-07-23,53.861111111111114,Splash Mountain
2015-07-24,40.48295454545455,Splash Mountain
2015-07-25,45.92178770949721,Splash Mountain
2015-07-26,40.397350993377486,Splash Mountain
2015-07-27,56.09756097560975,Splash Mountain
2015-07-28,19.5,Splash Mountain
2015-07-29,60.625,Splash Mountain
2015-07-30,68.33333333333333,Splash Mountain
2015-07-31,63.541666666666664,Splash Mountain
2015-08-01,40.773809523809526,Splash Mountain
2015-08-02,37.36842105263158,Splash Mountain
2015-08-03,37.2962962962963,Splash Mountain
2015-08-04,69.40298507462687,Splash Mountain
2015-08-05,54.95867768595041,Splash Mountain
2015-08-06,57.5,Splash Mountain
2015-08-07,39.54225352112676,Splash Mountain
2015-08-08,40.58139534883721,Splash Mountain
2015-08-09,31.8359375,Splash Mountain
2015-08-10,46.69230769230769,Splash Mountain
2015-08-11,53.57142857142857,Splash Mountain
2015-08-12,47.61538461538461,Splash Mountain
2015-08-13,39.05172413793103,Splash Mountain
2015-08-14,36.204819277108435,Splash Mountain
2015-08-15,28.46153846153846,Splash Mountain
2015-08-16,34.44444444444444,Splash Mountain
2015-08-17,45.03649635036496,Splash Mountain
2015-08-18,52.4264705882353,Splash Mountain
2015-08-19,47.025862068965516,Splash Mountain
2015-08-20,36.76470588235294,Splash Mountain
2015-08-21,61.666666666666664,Splash Mountain
2015-08-22,37.27272727272727,Splash Mountain
2015-08-23,32.65625,Splash Mountain
2015-08-24,31.161616161616163,Splash Mountain
2015-08-25,47.429906542056074,Splash Mountain
2015-08-26,32.2,Splash Mountain
2015-08-27,31.526315789473685,Splash Mountain
2015-08-28,28.166666666666668,Splash Mountain
2015-08-29,33.56435643564357,Splash Mountain
2015-08-30,20.17241379310345,Splash Mountain
2015-08-31,12.704918032786885,Splash Mountain
2015-09-01,25.241935483870968,Splash Mountain
2015-09-02,21.142857142857142,Splash Mountain
2015-09-03,27.32758620689655,Splash Mountain
2015-09-04,18.620689655172413,Splash Mountain
2015-09-05,37.2093023255814,Splash Mountain
2015-09-06,30.9,Splash Mountain
2015-09-07,19.24812030075188,Splash Mountain
2015-09-08,23.830645161290324,Splash Mountain
2015-09-09,21.85185185185185,Splash Mountain
2015-09-10,28.080357142857142,Splash Mountain
2015-09-11,27.303370786516854,Splash Mountain
2015-09-12,24.825581395348838,Splash Mountain
2015-09-13,28.464912280701753,Splash Mountain
2015-09-14,34.40677966101695,Splash Mountain
2015-09-15,16.470588235294116,Splash Mountain
2015-09-16,26.07758620689655,Splash Mountain
2015-09-17,26.16504854368932,Splash Mountain
2015-09-18,15.461538461538462,Splash Mountain
2015-09-19,32.78169014084507,Splash Mountain
2015-09-20,15.507246376811594,Splash Mountain
2015-09-21,44.95454545454545,Splash Mountain
2015-09-22,17.41007194244604,Splash Mountain
2015-09-23,33.125,Splash Mountain
2015-09-24,44.04761904761905,Splash Mountain
2015-09-25,17.137096774193548,Splash Mountain
2015-09-26,31.875,Splash Mountain
2015-09-27,18.427419354838708,Splash Mountain
2015-09-28,30.617977528089888,Splash Mountain
2015-09-29,13.177570093457945,Splash Mountain
2015-09-30,33.65079365079365,Splash Mountain
2015-10-01,13.452380952380953,Splash Mountain
2015-10-02,16.397058823529413,Splash Mountain
2015-10-03,30.454545454545453,Splash Mountain
2015-10-04,9.765625,Splash Mountain
2015-10-05,41.36363636363637,Splash Mountain
2015-10-06,20.872093023255815,Splash Mountain
2015-10-07,44.24812030075188,Splash Mountain
2015-10-08,19.26923076923077,Splash Mountain
2015-10-09,29.42982456140351,Splash Mountain
2015-10-10,38.58870967741935,Splash Mountain
2015-10-11,46.06060606060606,Splash Mountain
2015-10-12,30.16393442622951,Splash Mountain
2015-10-13,24.74137931034483,Splash Mountain
2015-10-14,70.61320754716981,Splash Mountain
2015-10-15,25.0,Splash Mountain
2015-10-16,22.5,Splash Mountain
2015-10-17,37.51851851851852,Splash Mountain
2015-10-18,20.284552845528456,Splash Mountain
2015-10-19,36.283185840707965,Splash Mountain
2015-10-20,14.180327868852459,Splash Mountain
2015-10-21,30.47008547008547,Splash Mountain
2015-10-22,18.934426229508198,Splash Mountain
2015-10-23,20.333333333333332,Splash Mountain
2015-10-24,31.79824561403509,Splash Mountain
2015-10-25,19.681818181818183,Splash Mountain
2015-10-26,37.39316239316239,Splash Mountain
2015-10-27,12.827868852459016,Splash Mountain
2015-10-28,16.68141592920354,Splash Mountain
2015-10-29,21.50485436893204,Splash Mountain
2015-10-30,37.03389830508475,Splash Mountain
2015-10-31,16.30952380952381,Splash Mountain
2015-11-01,20.0,Splash Mountain
2015-11-02,34.68,Splash Mountain
2015-11-03,28.564814814814813,Splash Mountain
2015-11-04,24.301470588235293,Splash Mountain
2015-11-05,26.682692307692307,Splash Mountain
2015-11-06,24.49579831932773,Splash Mountain
2015-11-07,25.833333333333332,Splash Mountain
2015-11-08,15.731707317073171,Splash Mountain
2015-11-09,30.916666666666668,Splash Mountain
2015-11-10,17.5,Splash Mountain
2015-11-11,29.80314960629921,Splash Mountain
2015-11-12,20.09259259259259,Splash Mountain
2015-11-13,20.26086956521739,Splash Mountain
2015-11-14,29.795081967213115,Splash Mountain
2015-11-15,19.580152671755727,Splash Mountain
2015-11-16,37.3394495412844,Splash Mountain
2015-11-17,20.113636363636363,Splash Mountain
2015-11-18,25.16393442622951,Splash Mountain
2015-11-19,12.686567164179104,Splash Mountain
2015-11-20,11.438356164383562,Splash Mountain
2015-11-21,25.615384615384617,Splash Mountain
2015-11-22,16.640625,Splash Mountain
2015-11-23,26.78832116788321,Splash Mountain
2015-11-24,30.703703703703702,Splash Mountain
2015-11-25,31.26865671641791,Splash Mountain
2015-11-26,27.73972602739726,Splash Mountain
2015-11-27,27.91044776119403,Splash Mountain
2015-11-28,23.76923076923077,Splash Mountain
2015-11-29,19.38053097345133,Splash Mountain
2015-11-30,24.151785714285715,Splash Mountain
2015-12-01,15.307017543859649,Splash Mountain
2015-12-02,22.291666666666668,Splash Mountain
2015-12-03,6.145038167938932,Splash Mountain
2015-12-04,16.278195488721803,Splash Mountain
2015-12-05,25.072992700729927,Splash Mountain
2015-12-06,17.99145299145299,Splash Mountain
2015-12-07,25.047169811320753,Splash Mountain
2015-12-08,13.880597014925373,Splash Mountain
2015-12-09,24.214876033057852,Splash Mountain
2015-12-10,27.216494845360824,Splash Mountain
2015-12-11,18.8135593220339,Splash Mountain
2015-12-12,29.84,Splash Mountain
2015-12-13,20.17543859649123,Splash Mountain
2015-12-14,25.8411214953271,Splash Mountain
2015-12-15,16.681818181818183,Splash Mountain
2015-12-16,32.24,Splash Mountain
2015-12-17,21.858407079646017,Splash Mountain
2015-12-18,12.479674796747968,Splash Mountain
2015-12-19,16.32,Splash Mountain
2015-12-20,27.857142857142858,Splash Mountain
2015-12-21,45.125,Splash Mountain
2015-12-22,42.93388429752066,Splash Mountain
2015-12-23,37.58620689655172,Splash Mountain
2015-12-24,46.916666666666664,Splash Mountain
2015-12-25,46.25,Splash Mountain
2015-12-26,51.35245901639344,Splash Mountain
2015-12-27,45.942622950819676,Splash Mountain
2015-12-28,70.34188034188034,Splash Mountain
2015-12-29,68.82575757575758,Splash Mountain
2015-12-30,61.47435897435897,Splash Mountain
2015-12-31,67.13709677419355,Splash Mountain
2016-01-01,37.76978417266187,Splash Mountain
2016-01-02,26.9140625,Splash Mountain
2016-01-03,6.836734693877551,Splash Mountain
2016-01-04,36.958333333333336,Splash Mountain
2016-01-05,27.77027027027027,Splash Mountain
2016-01-06,15.049019607843137,Splash Mountain
2016-01-07,24.68354430379747,Splash Mountain
2016-01-08,23.860759493670887,Splash Mountain
2016-01-09,19.234234234234233,Splash Mountain
2016-01-10,,Splash Mountain
2016-01-11,,Splash Mountain
2016-01-12,,Splash Mountain
2016-01-13,,Splash Mountain
2016-01-14,,Splash Mountain
2016-01-15,19.71153846153846,Splash Mountain
2016-01-16,36.333333333333336,Splash Mountain
2016-01-17,16.428571428571427,Splash Mountain
2016-01-18,22.087912087912088,Splash Mountain
2016-01-19,14.095238095238095,Splash Mountain
2016-01-20,20.875,Splash Mountain
2016-01-21,28.38888888888889,Splash Mountain
2016-01-22,11.75531914893617,Splash Mountain
2016-01-23,5.7207207207207205,Splash Mountain
2016-01-24,13.622448979591837,Splash Mountain
2016-01-25,28.19277108433735,Splash Mountain
2016-01-26,33.26923076923077,Splash Mountain
2016-01-27,8.4375,Splash Mountain
2016-01-28,7.083333333333333,Splash Mountain
2016-01-29,23.35,Splash Mountain
