date,SACTMIN,WDW_TICKET_SEASON,SEASON,HOLIDAYPX,HOLIDAYM,HOLIDAY,WDWTICKETSEASON,WDWevent,WDWrace,WDWSEASON,WDWMAXTEMP,WDWMINTEMP,WDWMEANTEMP,MKevent,EPevent,HSevent,AKeventN,AKevent,inSession,inSession_Enrollment,inSession_wdw,inSession_dlr,inSession_sqrt_WDW,inSession_sqrt_DLR,inSession_California,inSession_DC,inSession_Central_FL,inSession_Drive1_FL,inSession_Drive2_FL,inSession_Drive_CA,inSession_Florida,inSession_Mardi_Gras,inSession_Midwest,inSession_NY_NJ,inSession_NY_NJ_PA,inSession_New_England,inSession_New_Jersey,inSession_Nothwest,INSESSION_PLANES,inSession_Southwest,SUNSET_WDW,MKEMHMORN,MKEMHEVE,MKHOURSEMH,EPEMHMORN,EPEMHEVE,EPHOURSEMH,HSEMHMORN,HSEMHEVE,HSHOURSEMH,AKEMHMORN,AKEMHEVE,AKHOURSEMH,MKOPEN,MKCLOSE,MKHOURS,MKEMHOPEN,MKEMHCLOSE,EPOPEN,EPCLOSE,EPHOURS,EPEMHOPEN,EPEMHCLOSE,HSOPEN,HSCLOSE,HSHOURS,HSEMHOPEN,HSEMHCLOSE,AKOPEN,AKCLOSE,AKHOURS,AKEMHOPEN,AKEMHCLOSE,MKDAYSBEFORENONEVENT,MKDAYSSINCENONEVENT,MKEVENTSTREAK,MKEVENTSTREAK_F,PARTYSEASON_WDW,WDWMINTEMP_mean,WEATHER_WDWHIGH,WEATHER_WDWLOW,WEATHER_WDWPRECIP,CapacityLost_MK,CapacityLost_EP,CapacityLost_HS,CapacityLost_AK,CapacityLostWGT_MK,CapacityLostWGT_EP,CapacityLostWGT_HS,CapacityLostWGT_AK,EP09CAPACITY,HS20CAPACITY,MKPRDDAY,MKPRDDT1,MKPRDDT2,MKPRDNGT,MKPRDNT1,MKPRDNT2,MKFIREWK,MKFIRET1,MKFIRET2,EPFIREWK,EPFIRET1,EPFIRET2,HSFIREWK,HSFIRET1,HSFIRET2,HSSHWNGT,HSSHWNT1,HSSHWNT2,AKSHWNGT,AKSHWNT1,AKSHWNT2
2015-01-01,41.2,,CHRISTMAS PEAK,0,5,1,,0,0,CHRISTMAS PEAK,73.02,59.81,66.41,0,0,0,,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,17:42,1,0,18.0,0,0,13.0,0,0,14.0,0,0,11.0,8:00,1:00,17.0,7:00,,8:00,21:00,13.0,,,8:00,22:00,14.0,,,8:00,19:00,11.0,,,1,1,0,0,NONE,52.65,70.3,50.2,0.12,352865,325168,213779,210779,34661635,31692832,20802421,20790321,1600,1000,2,12:00,15:30,1,22:15,,1,21:00,,1,21:00,,0,,,3,18:30,20:00,0,,
2015-01-02,26.0,,CHRISTMAS,2,5,0,,0,0,CHRISTMAS,78.0,60.72,69.36,0,0,0,,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,17:43,0,0,17.0,0,1,15.0,0,0,14.0,0,0,12.0,8:00,1:00,17.0,,,8:00,21:00,13.0,,23:00,8:00,22:00,14.0,,,8:00,20:00,12.0,,,1,1,0,0,NONE,52.25933333,70.3,50.0,0.12,352865,325168,213779,210779,34661635,31692832,20802421,20790321,1600,1000,2,12:00,15:30,1,22:15,,1,21:00,,1,21:00,,0,,,3,18:30,20:00,0,,
2015-01-03,30.0,,CHRISTMAS,3,0,0,,0,0,CHRISTMAS,83.12,67.31,75.22,0,0,0,,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,17:44,0,0,16.0,0,0,12.0,1,0,14.0,0,0,11.0,9:00,1:00,16.0,,,9:00,21:00,12.0,,,9:00,22:00,13.0,8:00,,8:00,19:00,11.0,,,1,1,0,0,NONE,48.12066667,70.3,49.9,0.07,352865,325168,213779,210779,34661635,31692832,20802421,20790321,1600,1000,2,12:00,15:30,1,22:15,,1,21:00,,1,21:00,,0,,,2,18:30,20:00,0,,
2015-01-05,21.0,,CHRISTMAS,5,0,0,,0,0,CHRISTMAS,72.3,56.89,64.6,0,0,0,,0,67%,74%,77%,74%,74%,70%,66%,94%,68%,57%,56%,70%,79%,43%,93%,100%,100%,100%,100%,100%,48%,84%,17:45,0,0,14.0,0,0,12.0,0,1,13.0,0,0,8.0,9:00,23:00,14.0,,,9:00,21:00,12.0,,,9:00,20:00,11.0,,22:00,9:00,17:00,8.0,,,1,1,0,0,NONE,48.39928571,70.3,49.6,0.12,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,2,20:00,22:00,1,21:00,,1,21:00,,0,,,2,19:00,20:30,0,,
2015-01-06,11.0,,CHRISTMAS,6,0,0,,0,0,CHRISTMAS,77.67,54.88,66.28,0,0,0,,0,86%,92%,98%,77%,96%,82%,69%,94%,100%,98%,98%,76%,100%,96%,93%,100%,100%,83%,100%,100%,92%,93%,17:46,0,0,12.0,1,0,13.0,0,0,10.0,0,0,8.0,9:00,21:00,12.0,,,9:00,21:00,12.0,8:00,,9:00,19:00,10.0,,,9:00,17:00,8.0,,,1,1,0,0,NONE,50.07666667,70.2,49.5,0.12,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,0,,,1,20:00,,1,21:00,,0,,,1,19:00,,0,,
2015-01-07,36.0,,CHRISTMAS,7,0,0,,0,1,CHRISTMAS,67.24,48.56,57.9,0,0,0,,0,88%,94%,99%,78%,97%,83%,69%,94%,100%,100%,100%,76%,100%,100%,93%,100%,100%,100%,100%,100%,100%,93%,17:47,0,0,12.0,0,0,12.0,0,0,10.0,1,0,9.0,9:00,21:00,12.0,,,9:00,21:00,12.0,,,9:00,19:00,10.0,,,9:00,17:00,8.0,8:00,,1,1,0,0,NONE,48.03533333,70.3,49.5,0.12,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,0,,,1,20:00,,1,21:00,,0,,,1,19:00,,0,,
2015-01-08,29.666666666666668,,CHRISTMAS,8,0,0,,0,1,CHRISTMAS,59.44,38.7,49.07,0,0,0,,0,88%,94%,99%,78%,97%,83%,69%,94%,100%,100%,100%,76%,100%,100%,93%,100%,100%,100%,100%,100%,100%,93%,17:47,1,0,13.0,0,0,12.0,0,0,10.0,0,0,8.0,9:00,21:00,12.0,8:00,,9:00,21:00,12.0,,,9:00,19:00,10.0,,,9:00,17:00,8.0,,,1,1,0,0,NONE,49.512,70.3,49.4,0.08,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,2,19:00,21:00,1,20:00,,1,21:00,,0,,,1,19:00,,0,,
2015-01-09,42.0,,CHRISTMAS,9,0,0,,0,1,CHRISTMAS,54.89,45.37,50.13,0,0,0,,0,88%,94%,99%,78%,97%,83%,69%,94%,100%,100%,100%,76%,100%,100%,93%,100%,100%,100%,100%,100%,100%,93%,17:48,0,0,12.0,0,1,14.0,0,0,10.0,0,0,9.0,9:00,21:00,12.0,,,9:00,21:00,12.0,,23:00,9:00,19:00,10.0,,,9:00,18:00,9.0,,,1,1,0,0,NONE,51.09428571,70.3,49.3,0.11,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,1,19:00,,1,20:00,,1,21:00,,0,,,1,19:00,,0,,
2015-01-10,40.333333333333336,,WINTER,10,0,0,,0,1,WINTER,67.16,44.46,55.81,0,0,0,,0,88%,94%,99%,78%,97%,83%,69%,94%,100%,100%,100%,76%,100%,100%,93%,100%,100%,100%,100%,100%,100%,93%,17:49,0,1,16.0,0,0,12.0,1,0,12.0,0,0,11.0,9:00,23:00,14.0,,1:00,9:00,21:00,12.0,,,9:00,20:00,11.0,8:00,,9:00,20:00,11.0,,,1,1,0,0,NONE,53.42571429,70.3,49.3,0.08,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,2,20:00,22:00,1,21:00,,1,21:00,,0,,,2,19:00,20:30,0,,
2015-01-11,11.4,,WINTER,9,0,0,,0,1,WINTER,77.1,53.14,65.12,0,0,0,,0,94%,97%,100%,90%,99%,93%,85%,94%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,17:50,0,1,14.0,0,0,12.0,0,0,10.0,0,0,8.0,9:00,21:00,12.0,,23:00,9:00,21:00,12.0,,,9:00,19:00,10.0,,,9:00,17:00,8.0,,,1,1,0,0,NONE,54.35,70.3,49.2,0.08,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,1,20:00,,1,21:00,,1,21:00,,0,,,1,19:00,,0,,
